TIME,OPEN,HIGH,LOW,CLOSE,X,Y
2020-12-08 09:20:00,13210.2,13220.2,13176.0,13198.0,524400,58489050
2020-12-08 09:25:00,13196.35,13201.3,13181.5,13194.9,226725,58912275
2020-12-08 09:30:00,13195.0,13197.1,13183.6,13187.85,113325,59038350
2020-12-08 09:35:00,13188.6,13193.0,13185.75,13189.15,101775,59072625
2020-12-08 09:40:00,13189.75,13190.8,13171.05,13177.0,148200,59192700
2020-12-08 09:45:00,13176.75,13184.7,13175.0,13181.3,91050,59308575
2020-12-08 09:50:00,13180.6,13194.6,13180.6,13189.45,102300,59409825
2020-12-08 09:55:00,13190.0,13191.5,13184.1,13191.5,62175,59516400
2020-12-08 10:00:00,13190.6,13192.0,13186.05,13190.3,42450,59601450
2020-12-08 10:05:00,13192.0,13200.0,13190.0,13191.5,114975,59678850
2020-12-08 10:10:00,13190.4,13190.7,13179.2,13184.65,77325,59713200
2020-12-08 10:15:00,13185.0,13195.0,13181.2,13193.1,62925,59755350
2020-12-08 10:20:00,13194.5,13205.6,13194.5,13204.75,232275,59966925
2020-12-08 10:25:00,13205.05,13218.0,13203.2,13217.6,229050,60384975
2020-12-08 10:30:00,13216.45,13228.4,13211.8,13218.0,235200,60697950
2020-12-08 10:35:00,13217.0,13219.0,13211.9,13213.7,105825,61062675
2020-12-08 10:40:00,13212.6,13222.8,13203.25,13208.35,99600,61229775
2020-12-08 10:45:00,13207.65,13210.0,13203.4,13207.6,79125,61293900
2020-12-08 10:50:00,13209.0,13211.2,13200.1,13202.8,70500,61309200
2020-12-08 10:55:00,13202.4,13204.95,13194.05,13198.45,99150,61359375
2020-12-08 11:00:00,13197.85,13202.0,13188.15,13189.4,91275,61349175
2020-12-08 11:05:00,13188.95,13198.0,13187.0,13195.1,67875,61312650
2020-12-08 11:10:00,13194.0,13209.0,13191.2,13204.05,88200,61286625
2020-12-08 11:15:00,13204.0,13209.0,13201.05,13204.15,55950,61393950
2020-12-08 11:20:00,13204.1,13208.0,13192.0,13193.15,44175,61459875
2020-12-08 11:25:00,13193.35,13196.3,13187.45,13192.0,62925,61481175
2020-12-08 11:30:00,13193.0,13196.75,13188.55,13191.65,30900,61514925
2020-12-08 11:35:00,13190.5,13201.7,13183.05,13187.4,66675,61547775
2020-12-08 11:40:00,13186.0,13196.65,13185.15,13193.65,47475,61495050
2020-12-08 11:45:00,13195.0,13207.4,13194.0,13207.05,60600,61514250
2020-12-08 11:50:00,13206.5,13211.7,13202.1,13205.0,46875,61564950
2020-12-08 11:55:00,13204.8,13207.5,13201.0,13202.1,27975,61624425
2020-12-08 12:00:00,13202.0,13202.45,13195.1,13198.15,41400,61636650
2020-12-08 12:05:00,13197.8,13199.85,13193.75,13198.1,22650,61623900
2020-12-08 12:10:00,13196.3,13198.15,13185.7,13196.65,52275,61644600
2020-12-08 12:15:00,13195.2,13199.0,13189.3,13195.0,30375,61687950
2020-12-08 12:20:00,13194.75,13199.0,13183.0,13186.15,99675,61745475
2020-12-08 12:25:00,13186.2,13186.9,13162.55,13176.6,262350,61621950
2020-12-08 12:30:00,13176.85,13187.95,13173.55,13187.0,61350,61538625
2020-12-08 12:35:00,13187.0,13197.5,13175.7,13194.9,79050,61544400
2020-12-08 12:40:00,13195.1,13201.75,13194.0,13200.0,92325,61449225
2020-12-08 12:45:00,13200.05,13201.0,13190.7,13192.75,32925,61423575
2020-12-08 12:50:00,13195.0,13205.0,13191.0,13204.45,68025,61456875
2020-12-08 12:55:00,13203.8,13210.0,13185.45,13186.15,101475,61536600
2020-12-08 13:00:00,13186.1,13187.0,13171.25,13176.0,133425,61486800
2020-12-08 13:05:00,13176.0,13183.85,13165.6,13175.55,113175,61453650
2020-12-08 13:10:00,13176.2,13184.15,13170.2,13179.5,60300,61432950
2020-12-08 13:15:00,13178.85,13193.55,13173.25,13184.0,73950,61403475
2020-12-08 13:20:00,13185.7,13191.05,13176.2,13184.65,48600,61371225
2020-12-08 13:25:00,13184.0,13188.0,13180.5,13184.4,38700,61377600
2020-12-08 13:30:00,13183.9,13191.6,13180.0,13189.0,46200,61389375
2020-12-08 13:35:00,13191.0,13197.85,13176.35,13177.9,69825,61438575
2020-12-08 13:40:00,13177.05,13182.5,13172.4,13180.0,66675,61489650
2020-12-08 13:45:00,13182.0,13192.9,13178.25,13185.0,53550,61540275
2020-12-08 13:50:00,13185.05,13212.15,13181.35,13208.9,147300,61594200
2020-12-08 13:55:00,13209.0,13214.7,13199.75,13202.0,73425,61570800
2020-12-08 14:00:00,13201.55,13204.9,13194.25,13196.8,54525,61566075
2020-12-08 14:05:00,13197.0,13200.8,13187.15,13194.0,53550,61560075
2020-12-08 14:10:00,13194.0,13197.0,13187.0,13193.1,34725,61575225
2020-12-08 14:15:00,13193.5,13193.5,13181.65,13189.0,66300,61572600
2020-12-08 14:20:00,13188.6,13195.1,13155.1,13158.35,252525,61595250
2020-12-08 14:25:00,13159.05,13173.8,13153.05,13169.0,204375,61772925
2020-12-08 14:30:00,13169.15,13181.1,13167.55,13180.25,88575,61897725
2020-12-08 14:35:00,13178.0,13193.8,13171.15,13193.35,118350,61851525
2020-12-08 14:40:00,13193.75,13198.6,13185.9,13190.9,89550,61800000
2020-12-08 14:45:00,13190.35,13205.0,13188.0,13189.05,90375,61796175
2020-12-08 14:50:00,13190.45,13202.45,13181.6,13199.0,89475,61795050
2020-12-08 14:55:00,13198.5,13202.0,13191.05,13194.05,51225,61847700
2020-12-08 15:00:00,13194.0,13194.95,13182.1,13190.35,130800,61847475
2020-12-08 15:05:00,13190.0,13199.95,13181.0,13181.0,131250,61748250
2020-12-08 15:10:00,13180.9,13194.95,13180.0,13193.5,84675,61803900
2020-12-08 15:15:00,13193.1,13193.75,13185.65,13186.45,121650,61855950
2020-12-08 15:20:00,13186.45,13190.35,13185.0,13189.65,126150,61804425
2020-12-08 15:25:00,13189.1,13192.5,13188.0,13191.85,194250,61688550
2020-12-08 15:30:00,13191.85,13202.25,13191.2,13200.1,227175,61649175
